user_id,type,comparison,priority,message,action,metric
USR601Ie,spending_warning,personal,high,Your average transaction amount this month ($52655) is 847% above your usual average ($5562).,Review your recent transactions to identify what changed.,"{'avg_amt_30d': np.float64(52655.245), 'all_time_avg': np.float64(5562.131162790698), 'pct_above': 847}"
USR601Ie,spending_warning,personal,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,{'large_transactions': 3}
USR601Ie,spending_warning,peer,medium,Your recent average spend ($52655/txn) is 26228% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,"{'avg_amt_30d': np.float64(52655.245), 'peer_avg': np.float64(200.0), 'pct_above': 26228}"
USR601Ie,budget_advice,peer,medium,You spend 200% more than similar users on Friend Activities ($0 vs peer avg $0/month).,Setting a monthly budget for Friend Activities could bring your spend in line with peers.,"{'category': 'Friend Activities', 'user_spend': np.float64(0.2857142857142857), 'peer_spend': np.float64(0.0952380952380952), 'pct_above': 200}"
USR601Ie,budget_advice,personal,medium,Your Gifts spending spiked to 21.0x your usual amount in your highest month.,Consider a monthly cap on Gifts to avoid these irregular spikes.,"{'category': 'Gifts', 'spike_ratio': np.float64(21.0)}"
USR784ar,budget_advice,peer,medium,You spend 527% more than similar users on Gifts ($0 vs peer avg $0/month).,Setting a monthly budget for Gifts could bring your spend in line with peers.,"{'category': 'Gifts', 'user_spend': np.float64(0.2727272727272727), 'peer_spend': np.float64(0.0434782608695652), 'pct_above': 527}"
USR784ar,budget_advice,personal,medium,Your Friend Activities spending spiked to 22.0x your usual amount in your highest month.,Consider a monthly cap on Friend Activities to avoid these irregular spikes.,"{'category': 'Friend Activities', 'spike_ratio': np.float64(22.0)}"
USR821Id,spending_warning,personal,high,You have 5 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,{'large_transactions': 5}
USR821Id,budget_advice,peer,medium,You spend 204% more than similar users on Travel ($0 vs peer avg $0/month).,Setting a monthly budget for Travel could bring your spend in line with peers.,"{'category': 'Travel', 'user_spend': np.float64(0.3043478260869565), 'peer_spend': np.float64(0.1), 'pct_above': 204}"
USR821Id,budget_advice,personal,medium,Your Gifts spending spiked to 11.5x your usual amount in your highest month.,Consider a monthly cap on Gifts to avoid these irregular spikes.,"{'category': 'Gifts', 'spike_ratio': np.float64(11.5)}"
USR559Pi,spending_warning,peer,medium,Your recent average spend ($759/txn) is 280% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,"{'avg_amt_30d': np.float64(759.1666666666669), 'peer_avg': np.float64(200.0), 'pct_above': 280}"
USR559Pi,budget_advice,peer,medium,You spend 220% more than similar users on Gifts ($0 vs peer avg $0/month).,Setting a monthly budget for Gifts could bring your spend in line with peers.,"{'category': 'Gifts', 'user_spend': np.float64(0.3043478260869565), 'peer_spend': np.float64(0.0952380952380952), 'pct_above': 220}"
USR559Pi,budget_advice,personal,medium,Your Friend Activities spending spiked to 23.0x your usual amount in your highest month.,Consider a monthly cap on Friend Activities to avoid these irregular spikes.,"{'category': 'Friend Activities', 'spike_ratio': np.float64(23.0)}"
USR200Qr,spending_warning,peer,medium,Your recent average spend ($419/txn) is 109% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,"{'avg_amt_30d': np.float64(418.85666666666674), 'peer_avg': np.float64(200.0), 'pct_above': 109}"
USR200Qr,budget_advice,peer,medium,You spend 330% more than similar users on Gifts ($0 vs peer avg $0/month).,Setting a monthly budget for Gifts could bring your spend in line with peers.,"{'category': 'Gifts', 'user_spend': np.float64(0.4090909090909091), 'peer_spend': np.float64(0.0952380952380952), 'pct_above': 330}"
USR200Qr,budget_advice,personal,medium,Your Food spending spiked to 22.0x your usual amount in your highest month.,Consider a monthly cap on Food to avoid these irregular spikes.,"{'category': 'Food', 'spike_ratio': np.float64(22.0)}"
USR674rM,budget_advice,peer,medium,You spend 50% more than similar users on Medical/Dental ($0 vs peer avg $0/month).,Setting a monthly budget for Medical/Dental could bring your spend in line with peers.,"{'category': 'Medical/Dental', 'user_spend': np.float64(0.2608695652173913), 'peer_spend': np.float64(0.1739130434782608), 'pct_above': 50}"
USR674rM,budget_advice,personal,medium,Your Travel spending spiked to 11.5x your usual amount in your highest month.,Consider a monthly cap on Travel to avoid these irregular spikes.,"{'category': 'Travel', 'spike_ratio': np.float64(11.5)}"
USR240hY,budget_advice,peer,medium,You spend 160% more than similar users on Housing and Utilities ($0 vs peer avg $0/month).,Setting a monthly budget for Housing and Utilities could bring your spend in line with peers.,"{'category': 'Housing and Utilities', 'user_spend': np.float64(0.4), 'peer_spend': np.float64(0.1539473684210526), 'pct_above': 160}"
USR240hY,budget_advice,personal,medium,Your Gifts spending spiked to 20.0x your usual amount in your highest month.,Consider a monthly cap on Gifts to avoid these irregular spikes.,"{'category': 'Gifts', 'spike_ratio': np.float64(20.0)}"
USR778Dk,spending_warning,peer,medium,Your recent average spend ($2335/txn) is 730% higher than similar users ($281/txn).,Consider whether your spending aligns with your financial goals.,"{'avg_amt_30d': np.float64(2335.455), 'peer_avg': np.float64(281.25750000000005), 'pct_above': 730}"
USR778Dk,budget_advice,peer,medium,You spend 46% more than similar users on Fitness ($0 vs peer avg $0/month).,Setting a monthly budget for Fitness could bring your spend in line with peers.,"{'category': 'Fitness', 'user_spend': np.float64(0.2857142857142857), 'peer_spend': np.float64(0.1952380952380952), 'pct_above': 46}"
USR778Dk,budget_advice,personal,medium,Your Travel spending spiked to 21.0x your usual amount in your highest month.,Consider a monthly cap on Travel to avoid these irregular spikes.,"{'category': 'Travel', 'spike_ratio': np.float64(21.0)}"
USR778Dk,behavioral_nudge,personal,low,75% of your total spend happens on weekends.,Weekend spending patterns often include more impulse purchases. Planning ahead could reduce costs.,"{'weekend_spend_pct': 75, 'weekend_spend': np.float64(58955.01), 'weekday_spend': np.float64(19445.12)}"
USR546jz,spending_warning,personal,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,{'large_transactions': 4}
USR546jz,budget_advice,peer,medium,You spend 76% more than similar users on Gifts ($0 vs peer avg $0/month).,Setting a monthly budget for Gifts could bring your spend in line with peers.,"{'category': 'Gifts', 'user_spend': np.float64(0.32), 'peer_spend': np.float64(0.1818181818181818), 'pct_above': 76}"
USR546jz,budget_advice,personal,medium,Your Transportation spending spiked to 25.0x your usual amount in your highest month.,Consider a monthly cap on Transportation to avoid these irregular spikes.,"{'category': 'Transportation', 'spike_ratio': np.float64(25.0)}"
USR663xt,spending_warning,personal,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,{'large_transactions': 4}
