user_id,segment,total_recommendations,high_priority_count,top_rec_type,top_rec_priority,top_rec_message,top_rec_action,is_anomaly,anomaly_score
USR601Ie,Single-Tasker,5,2,spending_warning,high,Your average transaction amount this month ($52655) is 847% above your usual average ($5562).,Review your recent transactions to identify what changed.,False,20.28
USR784ar,Healthy Active User,2,0,budget_advice,medium,You spend 527% more than similar users on Gifts ($0 vs peer avg $0/month).,Setting a monthly budget for Gifts could bring your spend in line with peers.,False,10.3
USR821Id,Single-Tasker,3,1,spending_warning,high,You have 5 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,1.21
USR559Pi,Single-Tasker,3,0,spending_warning,medium,Your recent average spend ($759/txn) is 280% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,2.07
USR200Qr,Single-Tasker,3,0,spending_warning,medium,Your recent average spend ($419/txn) is 109% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,3.08
USR674rM,Consistent Weekly,2,0,budget_advice,medium,You spend 50% more than similar users on Medical/Dental ($0 vs peer avg $0/month).,Setting a monthly budget for Medical/Dental could bring your spend in line with peers.,False,3.63
USR240hY,Consistent Weekly,2,0,budget_advice,medium,You spend 160% more than similar users on Housing and Utilities ($0 vs peer avg $0/month).,Setting a monthly budget for Housing and Utilities could bring your spend in line with peers.,False,3.88
USR778Dk,Consistent Weekly,4,0,spending_warning,medium,Your recent average spend ($2335/txn) is 730% higher than similar users ($281/txn).,Consider whether your spending aligns with your financial goals.,False,3.27
USR546jz,Consistent Weekly,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,1.69
USR663xt,Consistent Weekly,4,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,10.54
USR661vO,Single-Tasker,3,0,budget_advice,medium,You spend 234% more than similar users on Hobbies ($0 vs peer avg $0/month).,Setting a monthly budget for Hobbies could bring your spend in line with peers.,False,3.25
USR451OQ,Single-Tasker,6,2,spending_warning,high,Your average transaction amount this month ($111678) is 1967% above your usual average ($5404).,Review your recent transactions to identify what changed.,True,40.26
USR691Fc,Single-Tasker,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,1.99
USR479Ei,Single-Tasker,2,0,budget_advice,medium,You spend 150% more than similar users on Gifts ($0 vs peer avg $0/month).,Setting a monthly budget for Gifts could bring your spend in line with peers.,False,3.4
USR581oW,Single-Tasker,3,0,budget_advice,medium,You spend 200% more than similar users on Fitness ($0 vs peer avg $0/month).,Setting a monthly budget for Fitness could bring your spend in line with peers.,False,6.15
USR847gv,Single-Tasker,2,0,budget_advice,medium,You spend 320% more than similar users on Gifts ($0 vs peer avg $0/month).,Setting a monthly budget for Gifts could bring your spend in line with peers.,False,2.56
USR759Fr,Single-Tasker,2,0,budget_advice,medium,You spend 157% more than similar users on Food ($0 vs peer avg $0/month).,Setting a monthly budget for Food could bring your spend in line with peers.,False,8.71
USR689zf,Consistent Weekly,3,0,spending_warning,medium,Your recent average spend ($464/txn) is 65% higher than similar users ($281/txn).,Consider whether your spending aligns with your financial goals.,False,4.49
USR007mU,Single-Tasker,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,2.24
USR491Th,Single-Tasker,4,0,spending_warning,medium,Your recent average spend ($349/txn) is 74% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,6.18
USR813QZ,Single-Tasker,5,2,spending_warning,high,Your average transaction amount this month ($7470) is 719% above your usual average ($912).,Review your recent transactions to identify what changed.,False,9.29
USR343dk,Single-Tasker,3,0,spending_warning,medium,Your recent average spend ($2619/txn) is 1210% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,15.44
USR291BJ,Single-Tasker,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,16.47
USR335Sx,Single-Tasker,5,2,spending_warning,high,Your average transaction amount this month ($1445) is 339% above your usual average ($329).,Review your recent transactions to identify what changed.,False,1.59
USR818nO,Healthy Active User,4,1,spending_warning,high,Your average transaction amount this month ($4216) is 60% above your usual average ($2640).,Review your recent transactions to identify what changed.,False,14.67
USR375sC,Single-Tasker,2,0,budget_advice,medium,You spend 138% more than similar users on Housing and Utilities ($0 vs peer avg $0/month).,Setting a monthly budget for Housing and Utilities could bring your spend in line with peers.,False,15.95
USR271eY,Single-Tasker,3,0,spending_warning,medium,Your recent average spend ($2587/txn) is 1194% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,8.64
USR253Hy,Consistent Weekly,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,1.41
